eta, gamma, epsilon, mds, mys, mss, mean, 50_perc, 80_perc, max, death_mode, 30_mean, 30_50_perc, 30_80_perc, 30_max, 30_death_mode, 30_low_mean, 30_low_50_perc, 30_low_80_perc, 30_low_max, 30_low_death_mode, 30_high_mean, 30_high_50_perc, 30_high_80_perc, 30_high_max, 30_high_death_mode
1,1,0.5,40,25,1,0.99,0.0,1.2,12.0,tree_top,1.15714285714,0.5,2.0,12.0,tree_top,0.366666666667,0.0,1.0,2.0,tree_top,1.75,1.0,3.2,12.0,off_bot
1,1,0.5,40,25,2,0.63,0.0,1.0,6.0,tree_top,0.728571428571,0.0,1.0,6.0,tree_top,0.5,0.0,1.0,2.0,tree_top,0.970588235294,0.0,2.0,6.0,tree_bot
1,1,0.5,40,25,3,0.82,0.0,1.0,7.0,tree_top,1.07142857143,1.0,2.0,7.0,tree_top,0.464285714286,0.0,1.0,1.0,tree_top,1.47619047619,1.0,2.8,7.0,tree_bot
1,1,0.5,40,15,1,0.36,0.0,1.0,3.0,tree_top,0.414285714286,0.0,1.0,3.0,tree_top,0.30303030303,0.0,1.0,2.0,tree_top,0.513513513514,0.0,1.0,3.0,tree_bot
1,1,0.5,40,15,2,0.66,0.0,1.0,4.0,tree_top,0.814285714286,1.0,2.0,4.0,tree_top,0.861111111111,1.0,2.0,3.0,tree_top,0.764705882353,0.0,1.4,4.0,tree_bot
1,1,0.5,40,15,3,0.44,0.0,1.0,2.0,tree_top,0.528571428571,0.0,1.0,2.0,tree_top,0.677419354839,1.0,1.0,2.0,tree_top,0.410256410256,0.0,1.0,2.0,off_bot
1,1,0.5,40,10,1,0.33,0.0,1.0,2.0,tree_top,0.371428571429,0.0,1.0,2.0,tree_top,0.405405405405,0.0,1.0,2.0,tree_top,0.333333333333,0.0,1.0,1.0,off_bot
1,1,0.5,40,10,2,0.4,0.0,1.0,3.0,tree_top,0.428571428571,0.0,1.0,3.0,tree_top,0.371428571429,0.0,1.0,3.0,tree_top,0.485714285714,0.0,1.0,2.0,tree_bot
1,1,0.5,40,10,3,0.51,0.0,1.0,4.0,tree_top,0.585714285714,0.0,1.0,4.0,tree_top,0.685714285714,1.0,1.0,4.0,tree_top,0.485714285714,0.0,1.0,2.0,off_bot
1,1,0.5,30,35,1,0.65,0.0,1.0,9.0,tree_top,0.828571428571,1.0,1.0,9.0,tree_top,0.457142857143,0.0,1.0,2.0,tree_top,1.2,1.0,1.0,9.0,off_bot
1,1,0.5,30,35,2,0.54,0.0,1.0,4.0,tree_top,0.628571428571,0.0,1.0,4.0,tree_top,0.5,0.0,1.0,2.0,tree_top,0.75,0.5,1.0,4.0,off_bot
1,1,0.5,30,35,3,0.7,0.0,1.0,6.0,tree_top,0.842857142857,1.0,1.0,6.0,tree_top,0.416666666667,0.0,1.0,1.0,tree_top,1.29411764706,1.0,2.0,6.0,off_bot
1,1,0.5,30,25,1,0.34,0.0,1.0,2.0,tree_top,0.285714285714,0.0,1.0,2.0,tree_top,0.35,0.0,1.0,2.0,tree_top,0.2,0.0,0.2,1.0,tree_bot
1,1,0.5,30,25,2,0.48,0.0,1.0,4.0,tree_top,0.542857142857,0.0,1.0,4.0,tree_top,0.30303030303,0.0,1.0,2.0,tree_top,0.756756756757,0.0,1.0,4.0,off_bot
1,1,0.5,30,25,3,0.46,0.0,1.0,3.0,tree_top,0.528571428571,0.0,1.0,3.0,tree_top,0.409090909091,0.0,1.0,3.0,tree_top,0.730769230769,1.0,1.0,2.0,tree_top
1,1,0.5,30,15,1,0.34,0.0,1.0,4.0,tree_top,0.442857142857,0.0,1.0,4.0,tree_top,0.41935483871,0.0,1.0,2.0,tree_top,0.461538461538,0.0,1.0,4.0,off_bot
1,1,0.5,30,15,2,0.48,0.0,1.0,3.0,tree_top,0.557142857143,0.5,1.0,3.0,tree_top,0.555555555556,1.0,1.0,2.0,tree_top,0.558823529412,0.0,1.0,3.0,off_bot
1,1,0.5,30,15,3,0.35,0.0,1.0,3.0,tree_top,0.428571428571,0.0,1.0,3.0,tree_top,0.4,0.0,1.0,2.0,tree_top,0.466666666667,0.0,1.0,3.0,tree_top
1,1,0.5,30,10,1,0.4,0.0,1.0,3.0,tree_top,0.485714285714,0.0,1.0,3.0,tree_top,0.414634146341,0.0,1.0,2.0,tree_top,0.586206896552,0.0,1.0,3.0,off_bot
1,1,0.5,30,10,2,0.38,0.0,1.0,4.0,tree_top,0.414285714286,0.0,1.0,4.0,tree_top,0.394736842105,0.0,1.0,2.0,tree_top,0.4375,0.0,1.0,4.0,tree_bot
1,1,0.5,30,10,3,0.39,0.0,1.0,3.0,tree_top,0.457142857143,0.0,1.0,3.0,tree_top,0.447368421053,0.0,1.0,2.0,tree_top,0.46875,0.0,1.0,3.0,off_bot
1,1,0.1,60,35,1,0.68,0.0,1.0,7.0,tree_top,0.871428571429,1.0,1.0,7.0,tree_top,0.422222222222,0.0,1.0,1.0,tree_top,1.68,1.0,2.2,7.0,tree_top
1,1,0.1,60,35,2,1.32,1.0,1.0,16.0,tree_top,1.71428571429,1.0,2.0,16.0,tree_top,0.837209302326,1.0,1.0,4.0,tree_top,3.11111111111,1.0,5.4,16.0,off_bot
1,1,0.1,60,35,3,1.57,1.0,2.0,14.0,tree_top,2.08571428571,1.0,3.0,14.0,tree_top,0.645161290323,1.0,1.0,2.0,tree_top,3.23076923077,2.0,6.0,14.0,tree_bot
1,1,0.1,60,25,1,0.59,0.0,1.0,5.0,tree_top,0.728571428571,0.5,1.0,5.0,tree_top,0.756756756757,1.0,1.0,3.0,tree_top,0.69696969697,0.0,1.0,5.0,tree_bot
1,1,0.1,60,25,2,0.91,0.0,1.0,13.0,tree_top,1.1,1.0,1.2,13.0,tree_top,0.444444444444,0.0,1.0,2.0,tree_top,1.79411764706,1.0,3.0,13.0,off_bot
